case,resolution,steps,tau,force_z,subsamples,geometry_workers,source_dump,particle_filter,n_particles,porosity_psc,mean_uz_fluid,superficial_uz,max_uz,permeability_lu,K_over_skeleton_same_resolution,momentum_residual,particle_force_sum_x_lu,particle_force_sum_y_lu,particle_force_sum_z_lu,particle_force_norm_sum_lu,fluid_imb_sum_x_lu,fluid_imb_sum_y_lu,fluid_imb_sum_z_lu,particle_fluid_momentum_closure_lu,domain_body_force_z_lu,fluid_volume_body_force_z_lu
baseline,64,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.298764705657959,4.237200137634096e-07,1.265925851934114e-07,9.37463776224155e-07,0.04641728123758417,0.9835393424614409,6.93892869892204e-18,,,,,,,,,,
baseline,96,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.29887927020037613,5.483388544320856e-07,1.6388711663517205e-07,1.6716795310795804e-06,0.06009194276622975,0.9762161642452342,2.7755699207769486e-17,,,,,,,,,,
baseline,128,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.2989005446434021,7.672441533337754e-07,2.2932969530593137e-07,3.4177247221559976e-06,0.08408755494550815,0.9716213321623294,2.219048502422303e-19,,,,,,,,,,
baseline,192,360,0.72,2e-07,2,,/home/wangjian/lbm-imb-dem-couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.29893456565009224,1.5121794297309688e-06,4.520427010116313e-07,7.622430201341594e-06,0.16574899037093146,0.9668103218838464,6.661344667395775e-16,,,,,,,,,,
baseline,224,360,0.72,2e-07,2,12,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.29894611369764146,2.04315867297348e-06,6.107943449530522e-07,1.0561442979127512e-05,0.22395792648278576,0.9656401548128275,1.998404174249211e-15,,,,,,,,,,
baseline,256,360,0.72,2e-07,2,16,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.298949658870697,2.6826177276097053e-06,8.019676545494058e-07,1.4024552482843408e-05,0.2940548066681154,0.9649250194691995,5.329071063006863e-15,,,,,,,,,,
baseline,288,360,0.72,2e-07,2,18,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.29896369065440404,3.430420189724677e-06,1.0255710804154704e-06,1.8213743597940384e-05,0.3760427294856724,0.9644400802387264,1.3323113330071966e-15,,,,,,,,,,
baseline,320,360,0.72,2e-07,2,12,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_traj_900.dump,all,1359,0.2989593734741211,4.28700329902978e-06,1.281639820359433e-06,2.2728342543492252e-05,0.4699346007984587,0.9641015902521853,4.440901625941192e-15,1.7510223526498404e-05,1.2441467721323909e-05,4.6773316738421675,4.677331673891491,-1.7510223526500715e-05,-1.2441467721332813e-05,-4.677331673842163,4.440901625941192e-15,6.553599999999999,1.95926015
packed_slug,64,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,all,1853,0.2932882308959961,4.174641831481998e-07,1.2243733173797762e-07,8.824626418974045e-07,0.04489368830392512,0.9512558145986205,1.3877806135022803e-17,,,,,,,,,,
packed_slug,96,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,all,1853,0.2934371100531684,5.311823640002124e-07,1.558686178034325e-07,1.5523969205779897e-06,0.05715182652792525,0.9284528724548792,2.775559927634679e-17,,,,,,,,,,
